entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions,,,,,,,,,,,,,,
,,,,,,,,,,,,,29454-9646:Kevin Durant,29454-9646,SF,Kevin,Kevin Durant,Durant,48.4,5,9900,GS@NY,GS,NY,,,
,,,,,,,,,,,,,29454-14513:Kawhi Leonard,29454-14513,SF,Kawhi,Kawhi Leonard,Leonard,44.04999924,4,9800,DAL@TOR,TOR,DAL,,,
,,,,,,,,,,,,,29454-9623:Chris Paul,29454-9623,PG,Chris,Chris Paul,Paul,45.20000076,2,9700,LAC@HOU,HOU,LAC,,,
,,,,,,,,,,,,,29454-12332:John Wall,29454-12332,PG,John,John Wall,Wall,40.40000153,4,9600,WAS@SAC,WAS,SAC,,,
,,,,,,,,,,,,,29454-14528:Jimmy Butler,29454-14528,SG,Jimmy,Jimmy Butler,Butler,49.04999924,4,9400,MIL@MIN,MIN,MIL,GTD,Illness,
,,,,,,,,,,,,,29454-58462:Karl-Anthony Towns,29454-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,34.23999939,5,8500,MIL@MIN,MIN,MIL,,,
,,,,,,,,,,,,,29454-14507:Kemba Walker,29454-14507,PG,Kemba,Kemba Walker,Walker,44.77999878,5,8500,CHI@CHA,CHA,CHI,,,
,,,,,,,,,,,,,29454-9535:Kyle Lowry,29454-9535,PG,Kyle,Kyle Lowry,Lowry,42.92000122,5,8500,DAL@TOR,TOR,DAL,,,
,,,,,,,,,,,,,29454-40783:Zach LaVine,29454-40783,SG,Zach,Zach LaVine,LaVine,42.375,4,8400,CHI@CHA,CHI,CHA,,,
,,,,,,,,,,,,,29454-15595:Bradley Beal,29454-15595,SG,Bradley,Bradley Beal,Beal,39.875,4,8300,WAS@SAC,WAS,SAC,GTD,Chest,
,,,,,,,,,,,,,29454-55059:Clint Capela,29454-55059,C,Clint,Clint Capela,Capela,33.15000153,4,8100,LAC@HOU,HOU,LAC,,,
,,,,,,,,,,,,,29454-80810:De'Aaron Fox,29454-80810,PG,De'Aaron,De'Aaron Fox,Fox,36.46000061,5,8000,WAS@SAC,SAC,WAS,,,
,,,,,,,,,,,,,29454-9561:DeAndre Jordan,29454-9561,C,DeAndre,DeAndre Jordan,Jordan,40.57500076,4,7800,DAL@TOR,DAL,TOR,,,
,,,,,,,,,,,,,29454-9663:Jrue Holiday,29454-9663,SG,Jrue,Jrue Holiday,Holiday,34.10000102,3,7800,BKN@NO,NO,BKN,,,
,,,,,,,,,,,,,29454-14516:Enes Kanter,29454-14516,C,Enes,Enes Kanter,Kanter,35.36000061,5,7700,GS@NY,NY,GS,,,
,,,,,,,,,,,,,29454-14518:Tobias Harris,29454-14518,PF,Tobias,Tobias Harris,Harris,39.57500076,4,7700,LAC@HOU,LAC,HOU,,,
,,,,,,,,,,,,,29454-12355:Eric Bledsoe,29454-12355,PG,Eric,Eric Bledsoe,Bledsoe,38.42499924,4,7600,MIL@MIN,MIL,MIN,,,
,,,,,,,,,,,,,29454-16261:Khris Middleton,29454-16261,SG,Khris,Khris Middleton,Middleton,38.95000076,4,7600,MIL@MIN,MIL,MIN,,,
,,,,,,,,,,,,,29454-14522:Nikola Mirotic,29454-14522,SF,Nikola,Nikola Mirotic,Mirotic,43.23333232,3,7500,BKN@NO,NO,BKN,,,
,,,,,,,,,,,,,29454-15860:Draymond Green,29454-15860,PF,Draymond,Draymond Green,Green,28.37999878,5,7500,GS@NY,GS,NY,,,
,,,,,,,,,,,,,29454-84669:Luka Doncic,29454-84669,SG,Luka,Luka Doncic,Doncic,32.92499924,4,7400,DAL@TOR,DAL,TOR,,,
,,,,,,,,,,,,,29454-19138:Elfrid Payton,29454-19138,PG,Elfrid,Elfrid Payton,Payton,37.19999949,3,7400,BKN@NO,NO,BKN,,,
,,,,,,,,,,,,,29454-23802:Kris Dunn,29454-23802,PG,Kris,Kris Dunn,Dunn,20.29999924,1,7200,CHI@CHA,CHI,CHA,O,Knee,
,,,,,,,,,,,,,29454-42550:Jabari Parker,29454-42550,SF,Jabari,Jabari Parker,Parker,25.77499962,4,7000,CHI@CHA,CHI,CHA,,,
,,,,,,,,,,,,,29454-23823:Willie Cauley-Stein,29454-23823,C,Willie,Willie Cauley-Stein,Cauley-Stein,32.27999878,5,7000,WAS@SAC,SAC,WAS,,,
,,,,,,,,,,,,,29454-58312:D'Angelo Russell,29454-58312,PG,D'Angelo,D'Angelo Russell,Russell,27.70000076,4,7000,BKN@NO,BKN,NO,,,
,,,,,,,,,,,,,29454-9637:Danilo Gallinari,29454-9637,SF,Danilo,Danilo Gallinari,Gallinari,34.02500153,4,6900,LAC@HOU,LAC,HOU,,,
,,,,,,,,,,,,,29454-9660:Dwight Howard,29454-9660,C,Dwight,Dwight Howard,Howard,37.62839386,81,6900,WAS@SAC,WAS,SAC,O,Back,
,,,,,,,,,,,,,29454-42669:Julius Randle,29454-42669,C,Julius,Julius Randle,Randle,31.96666718,3,6800,BKN@NO,NO,BKN,GTD,Foot,
,,,,,,,,,,,,,29454-23798:Caris LeVert,29454-23798,SG,Caris,Caris LeVert,LeVert,34.25,4,6800,BKN@NO,BKN,NO,,,
,,,,,,,,,,,,,29454-15846:Tim Hardaway Jr.,29454-15846,SG,Tim,Tim Hardaway Jr.,Hardaway Jr.,34.33999939,5,6700,GS@NY,NY,GS,,,
,,,,,,,,,,,,,29454-42156:Bobby Portis,29454-42156,PF,Bobby,Bobby Portis,Portis,28.75,4,6600,CHI@CHA,CHI,CHA,O,Knee,
,,,,,,,,,,,,,29454-9446:Jeff Teague,29454-9446,PG,Jeff,Jeff Teague,Teague,30.97999878,5,6500,MIL@MIN,MIN,MIL,,,
,,,,,,,,,,,,,29454-9556:Eric Gordon,29454-9556,SG,Eric,Eric Gordon,Gordon,24.52499962,4,6500,LAC@HOU,HOU,LAC,,,
,,,,,,,,,,,,,29454-9809:Nicolas Batum,29454-9809,SF,Nicolas,Nicolas Batum,Batum,25.3,5,6400,CHI@CHA,CHA,CHI,,,
,,,,,,,,,,,,,29454-9508:Carmelo Anthony,29454-9508,SF,Carmelo,Carmelo Anthony,Anthony,23.10000038,4,6400,LAC@HOU,HOU,LAC,,,
,,,,,,,,,,,,,29454-80814:Dennis Smith Jr.,29454-80814,PG,Dennis,Dennis Smith Jr.,Smith Jr.,26.89999962,4,6400,DAL@TOR,DAL,TOR,,,
,,,,,,,,,,,,,29454-80821:Jarrett Allen,29454-80821,C,Jarrett,Jarrett Allen,Allen,29.47500038,4,6400,BKN@NO,BKN,NO,,,
,,,,,,,,,,,,,29454-23665:Buddy Hield,29454-23665,SG,Buddy,Buddy Hield,Hield,24.1,5,6300,WAS@SAC,SAC,WAS,,,
,,,,,,,,,,,,,29454-15628:Otto Porter Jr.,29454-15628,SF,Otto,Otto Porter Jr.,Porter Jr.,28.52499962,4,6300,WAS@SAC,WAS,SAC,,,
,,,,,,,,,,,,,29454-49116:Andrew Wiggins,29454-49116,SF,Andrew,Andrew Wiggins,Wiggins,24.60000038,4,6300,MIL@MIN,MIN,MIL,GTD,Quadriceps,
,,,,,,,,,,,,,29454-14509:Klay Thompson,29454-14509,SG,Klay,Klay Thompson,Thompson,23.8,5,6200,GS@NY,GS,NY,,,
,,,,,,,,,,,,,29454-84676:Wendell Carter Jr.,29454-84676,PF,Wendell,Wendell Carter Jr.,Carter Jr.,19.29999924,4,6000,CHI@CHA,CHI,CHA,,,
,,,,,,,,,,,,,29454-12368:Nemanja Bjelica,29454-12368,SF,Nemanja,Nemanja Bjelica,Bjelica,26.97999878,5,5800,WAS@SAC,SAC,WAS,,,
,,,,,,,,,,,,,29454-14503:Jonas Valanciunas,29454-14503,C,Jonas,Jonas Valanciunas,Valanciunas,26.72000122,5,5800,DAL@TOR,TOR,DAL,,,
,,,,,,,,,,,,,29454-9621:Brook Lopez,29454-9621,C,Brook,Brook Lopez,Lopez,24.67499924,4,5800,MIL@MIN,MIL,MIN,,,
,,,,,,,,,,,,,29454-48567:Cameron Payne,29454-48567,PG,Cameron,Cameron Payne,Payne,20.42499924,4,5800,CHI@CHA,CHI,CHA,,,
,,,,,,,,,,,,,29454-55060:Bogdan Bogdanovic,29454-55060,SG,Bogdan,Bogdan Bogdanovic,Bogdanovic,22.15696233,79,5700,WAS@SAC,SAC,WAS,O,Knee,
,,,,,,,,,,,,,29454-9787:DeMarre Carroll,29454-9787,SF,DeMarre,DeMarre Carroll,Carroll,26.60684998,73,5600,BKN@NO,BKN,NO,O,Ankle,
,,,,,,,,,,,,,29454-42148:Rondae Hollis-Jefferson,29454-42148,PF,Rondae,Rondae Hollis-Jefferson,Hollis-Jefferson,19.60000038,1,5600,BKN@NO,BKN,NO,,,
,,,,,,,,,,,,,29454-15559:Jeremy Lamb,29454-15559,SG,Jeremy,Jeremy Lamb,Lamb,25.53999939,5,5600,CHI@CHA,CHA,CHI,,,
,,,,,,,,,,,,,29454-14511:Markieff Morris,29454-14511,PF,Markieff,Markieff Morris,Morris,30.75,4,5500,WAS@SAC,WAS,SAC,,,
,,,,,,,,,,,,,29454-84679:Marvin Bagley III,29454-84679,PF,Marvin,Marvin Bagley III,Bagley III,28.7,5,5500,WAS@SAC,SAC,WAS,,,
,,,,,,,,,,,,,29454-15843:Trey Burke,29454-15843,PG,Trey,Trey Burke,Burke,23.53999939,5,5500,GS@NY,NY,GS,,,
,,,,,,,,,,,,,29454-16359:Malcolm Brogdon,29454-16359,SG,Malcolm,Malcolm Brogdon,Brogdon,24.32500076,4,5500,MIL@MIN,MIL,MIN,,,
,,,,,,,,,,,,,29454-16604:Justin Holiday,29454-16604,SG,Justin,Justin Holiday,Holiday,23.54999924,4,5400,CHI@CHA,CHI,CHA,,,
,,,,,,,,,,,,,29454-23776:Montrezl Harrell,29454-23776,PF,Montrezl,Montrezl Harrell,Harrell,26.25,4,5400,LAC@HOU,LAC,HOU,,,
,,,,,,,,,,,,,29454-9957:Serge Ibaka,29454-9957,PF,Serge,Serge Ibaka,Ibaka,28.77999878,5,5400,DAL@TOR,TOR,DAL,,,
,,,,,,,,,,,,,29454-23407:PJ Tucker,29454-23407,PF,PJ,PJ Tucker,Tucker,23.97500038,4,5400,LAC@HOU,HOU,LAC,,,
,,,,,,,,,,,,,29454-15946:Harrison Barnes,29454-15946,SF,Harrison,Harrison Barnes,Barnes,30.0337675,77,5300,DAL@TOR,DAL,TOR,,,
,,,,,,,,,,,,,29454-15542:Spencer Dinwiddie,29454-15542,PG,Spencer,Spencer Dinwiddie,Dinwiddie,21.67499924,4,5300,BKN@NO,BKN,NO,,,
,,,,,,,,,,,,,29454-9662:Lou Williams,29454-9662,SG,Lou,Lou Williams,Williams,21.375,4,5300,LAC@HOU,LAC,HOU,,,
,,,,,,,,,,,,,29454-23676:Damyean Dotson,29454-23676,SG,Damyean,Damyean Dotson,Dotson,30.33333333,3,5200,GS@NY,NY,GS,,,
,,,,,,,,,,,,,29454-9799:Wesley Matthews,29454-9799,SG,Wesley,Wesley Matthews,Matthews,28.17499924,4,5100,DAL@TOR,DAL,TOR,,,
,,,,,,,,,,,,,29454-9758:Danny Green,29454-9758,SG,Danny,Danny Green,Green,24.31999969,5,4900,DAL@TOR,TOR,DAL,,,
,,,,,,,,,,,,,29454-24247:Fred VanVleet,29454-24247,PG,Fred,Fred VanVleet,VanVleet,22.47500038,4,4900,DAL@TOR,TOR,DAL,O,Toe,
,,,,,,,,,,,,,29454-9481:Taj Gibson,29454-9481,PF,Taj,Taj Gibson,Gibson,24.21999969,5,4900,MIL@MIN,MIN,MIL,,,
,,,,,,,,,,,,,29454-9475:Derrick Rose,29454-9475,PG,Derrick,Derrick Rose,Rose,27.82000122,5,4800,MIL@MIN,MIN,MIL,,,
,,,,,,,,,,,,,29454-80813:Frank Ntilikina,29454-80813,PG,Frank,Frank Ntilikina,Ntilikina,17.43999939,5,4800,GS@NY,NY,GS,,,
,,,,,,,,,,,,,29454-60021:Pascal Siakam,29454-60021,PF,Pascal,Pascal Siakam,Siakam,19.93999939,5,4700,DAL@TOR,TOR,DAL,,,
,,,,,,,,,,,,,29454-9579:Zach Randolph,29454-9579,PF,Zach,Zach Randolph,Randolph,26.50678007,59,4700,WAS@SAC,SAC,WAS,,,
,,,,,,,,,,,,,29454-12474:Patrick Beverley,29454-12474,PG,Patrick,Patrick Beverley,Beverley,22.47500038,4,4600,LAC@HOU,LAC,HOU,,,
,,,,,,,,,,,,,29454-14554:E'Twaun Moore,29454-14554,SF,E'Twaun,E'Twaun Moore,Moore,23.33333333,3,4600,BKN@NO,NO,BKN,,,
,,,,,,,,,,,,,29454-9451:Marvin Williams,29454-9451,PF,Marvin,Marvin Williams,Williams,22.36000061,5,4600,CHI@CHA,CHA,CHI,,,
,,,,,,,,,,,,,29454-9500:Dirk Nowitzki,29454-9500,PF,Dirk,Dirk Nowitzki,Nowitzki,23.96883085,77,4600,DAL@TOR,DAL,TOR,O,Ankle,
,,,,,,,,,,,,,29454-63123:Mario Hezonja,29454-63123,SF,Mario,Mario Hezonja,Hezonja,16.03999939,5,4500,GS@NY,NY,GS,,,
,,,,,,,,,,,,,29454-15691:Cody Zeller,29454-15691,C,Cody,Cody Zeller,Zeller,20,5,4500,CHI@CHA,CHA,CHI,,,
,,,,,,,,,,,,,29454-80816:Malik Monk,29454-80816,SG,Malik,Malik Monk,Monk,20.9,5,4500,CHI@CHA,CHA,CHI,,,
,,,,,,,,,,,,,29454-84680:Shai Gilgeous-Alexander,29454-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,19.20000076,4,4400,LAC@HOU,LAC,HOU,,,
,,,,,,,,,,,,,29454-9495:J.J. Barea,29454-9495,PG,J.J.,J.J. Barea,Barea,27.25,4,4400,DAL@TOR,DAL,TOR,,,
,,,,,,,,,,,,,29454-82744:Shaquille Harrison,29454-82744,PG,Shaquille,Shaquille Harrison,Harrison,16.72608749,23,4400,CHI@CHA,CHI,CHA,,,
,,,,,,,,,,,,,29454-16196:Dwight Powell,29454-16196,PF,Dwight,Dwight Powell,Powell,26.20000076,4,4400,DAL@TOR,DAL,TOR,,,
,,,,,,,,,,,,,29454-16363:Joe Harris,29454-16363,SG,Joe,Joe Harris,Harris,24.27499962,4,4400,BKN@NO,BKN,NO,,,
,,,,,,,,,,,,,29454-16201:Michael Carter-Williams,29454-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,12.02499962,4,4300,LAC@HOU,HOU,LAC,,,
,,,,,,,,,,,,,29454-15758:Michael Kidd-Gilchrist,29454-15758,SF,Michael,Michael Kidd-Gilchrist,Kidd-Gilchrist,23.1,5,4300,CHI@CHA,CHA,CHI,,,
,,,,,,,,,,,,,29454-24546:Denzel Valentine,29454-24546,SF,Denzel,Denzel Valentine,Valentine,22.70909059,77,4300,CHI@CHA,CHI,CHA,O,Ankle,
,,,,,,,,,,,,,29454-63127:Willy Hernangomez,29454-63127,C,Willy,Willy Hernangomez,Hernangomez,16.71999969,5,4200,CHI@CHA,CHA,CHI,,,
,,,,,,,,,,,,,29454-14515:Iman Shumpert,29454-14515,SG,Iman,Iman Shumpert,Shumpert,22.875,4,4200,WAS@SAC,SAC,WAS,GTD,Hip,
,,,,,,,,,,,,,29454-84674:Kevin Knox,29454-84674,PF,Kevin,Kevin Knox,Knox,14.06666692,3,4200,GS@NY,NY,GS,O,Ankle,
,,,,,,,,,,,,,29454-84689:Josh Okogie,29454-84689,SG,Josh,Josh Okogie,Okogie,21.5,3,4200,MIL@MIN,MIN,MIL,,,
,,,,,,,,,,,,,29454-42661:Noah Vonleh,29454-42661,PF,Noah,Noah Vonleh,Vonleh,22.01999969,5,4100,GS@NY,NY,GS,,,
,,,,,,,,,,,,,29454-14505:Bismack Biyombo,29454-14505,C,Bismack,Bismack Biyombo,Biyombo,7.050000191,2,4000,CHI@CHA,CHA,CHI,,,
,,,,,,,,,,,,,29454-58134:Justin Jackson,29454-58134,SF,Justin,Justin Jackson,Jackson,20,5,4000,WAS@SAC,SAC,WAS,,,
,,,,,,,,,,,,,29454-58153:Kelly Oubre Jr.,29454-58153,SF,Kelly,Kelly Oubre Jr.,Oubre Jr.,21.35000038,4,4000,WAS@SAC,WAS,SAC,,,
,,,,,,,,,,,,,29454-9598:Ersan Ilyasova,29454-9598,PF,Ersan,Ersan Ilyasova,Ilyasova,17.5,4,4000,MIL@MIN,MIL,MIN,,,
,,,,,,,,,,,,,29454-40830:Delon Wright,29454-40830,PG,Delon,Delon Wright,Wright,3,1,4000,DAL@TOR,TOR,DAL,O,Hip,
,,,,,,,,,,,,,29454-9731:Kosta Koufos,29454-9731,C,Kosta,Kosta Koufos,Koufos,19.22394401,71,3900,WAS@SAC,SAC,WAS,GTD,Hamstring,
,,,,,,,,,,,,,29454-12334:Avery Bradley,29454-12334,SG,Avery,Avery Bradley,Bradley,10.97500038,4,3900,LAC@HOU,LAC,HOU,,,
,,,,,,,,,,,,,29454-67707:Marquese Chriss,29454-67707,PF,Marquese,Marquese Chriss,Chriss,19.59027778,72,3900,LAC@HOU,HOU,LAC,GTD,Ankle,
,,,,,,,,,,,,,29454-81621:Maxi Kleber,29454-81621,PF,Maxi,Maxi Kleber,Kleber,17.125,4,3900,DAL@TOR,DAL,TOR,,,
,,,,,,,,,,,,,29454-17542:Alan Williams,29454-17542,PF,Alan,Alan Williams,Williams,13.88000031,5,3800,BKN@NO,BKN,NO,,,
,,,,,,,,,,,,,29454-9479:Luol Deng,29454-9479,SF,Luol,Luol Deng,Deng,5.5,1,3800,MIL@MIN,MIN,MIL,,,
,,,,,,,,,,,,,29454-18376:Damion Lee,29454-18376,SG,Damion,Damion Lee,Lee,0,1,3800,GS@NY,GS,NY,,,
,,,,,,,,,,,,,29454-15952:John Henson,29454-15952,PF,John,John Henson,Henson,21.875,4,3700,MIL@MIN,MIL,MIN,,,
,,,,,,,,,,,,,29454-9849:Gerald Green,29454-9849,SF,Gerald,Gerald Green,Green,12.57499981,4,3700,LAC@HOU,HOU,LAC,,,
,,,,,,,,,,,,,29454-15993:Pat Connaughton,29454-15993,SG,Pat,Pat Connaughton,Connaughton,1.5,1,3700,MIL@MIN,MIL,MIN,,,
,,,,,,,,,,,,,29454-9920:Anthony Tolliver,29454-9920,PF,Anthony,Anthony Tolliver,Tolliver,12.88000031,5,3700,MIL@MIN,MIN,MIL,,,
,,,,,,,,,,,,,29454-58576:Kevon Looney,29454-58576,PF,Kevon,Kevon Looney,Looney,18.3,5,3700,GS@NY,GS,NY,,,
,,,,,,,,,,,,,29454-9962:Jonas Jerebko,29454-9962,PF,Jonas,Jonas Jerebko,Jerebko,14.26000061,5,3700,GS@NY,GS,NY,,,
,,,,,,,,,,,,,29454-9512: Nene,29454-9512,C,,Nene,Nene,13.57115408,52,3700,LAC@HOU,HOU,LAC,O,Calf,
,,,,,,,,,,,,,29454-40769:Jordan Bell,29454-40769,C,Jordan,Jordan Bell,Bell,9.225000381,4,3700,GS@NY,GS,NY,,,
,,,,,,,,,,,,,29454-63826:Boban Marjanovic,29454-63826,C,Boban,Boban Marjanovic,Marjanovic,12.19999981,4,3700,LAC@HOU,LAC,HOU,,,
,,,,,,,,,,,,,29454-15771:Gorgui Dieng,29454-15771,C,Gorgui,Gorgui Dieng,Dieng,18.8,5,3700,MIL@MIN,MIN,MIL,,,
,,,,,,,,,,,,,29454-9648:Jeff Green,29454-9648,SF,Jeff,Jeff Green,Green,20.25,4,3700,WAS@SAC,WAS,SAC,,,
,,,,,,,,,,,,,29454-9661:Marcin Gortat,29454-9661,C,Marcin,Marcin Gortat,Gortat,14.80000019,4,3700,LAC@HOU,LAC,HOU,,,
,,,,,,,,,,,,,29454-9664:Andre Iguodala,29454-9664,SG,Andre,Andre Iguodala,Iguodala,10.25,4,3700,GS@NY,GS,NY,,,
,,,,,,,,,,,,,29454-9677:Jared Dudley,29454-9677,SF,Jared,Jared Dudley,Dudley,16.92499924,4,3700,BKN@NO,BKN,NO,,,
,,,,,,,,,,,,,29454-63478:Cristiano Felicio,29454-63478,C,Cristiano,Cristiano Felicio,Felicio,18,1,3700,CHI@CHA,CHI,CHA,,,
,,,,,,,,,,,,,29454-16376:Dorian Finney-Smith,29454-16376,SF,Dorian,Dorian Finney-Smith,Finney-Smith,20.92499924,4,3700,DAL@TOR,DAL,TOR,,,
,,,,,,,,,,,,,29454-68090:OG Anunoby,29454-68090,SF,OG,OG Anunoby,Anunoby,14.38000031,5,3700,DAL@TOR,TOR,DAL,O,Personal,
,,,,,,,,,,,,,29454-12337:Greg Monroe,29454-12337,C,Greg,Greg Monroe,Monroe,5.900000095,1,3600,DAL@TOR,TOR,DAL,,,
,,,,,,,,,,,,,29454-9796:Luc Mbah a Moute,29454-9796,PF,Luc,Luc Mbah a Moute,Mbah a Moute,8.850000381,4,3600,LAC@HOU,LAC,HOU,GTD,Knee,
,,,,,,,,,,,,,29454-12365:Ed Davis,29454-12365,C,Ed,Ed Davis,Davis,21.125,4,3600,BKN@NO,BKN,NO,,,
,,,,,,,,,,,,,29454-17491:James Ennis III,29454-17491,SF,James,James Ennis III,Ennis III,14.09999975,3,3600,LAC@HOU,HOU,LAC,O,Hamstring,
,,,,,,,,,,,,,29454-20064:Matthew Dellavedova,29454-20064,PG,Matthew,Matthew Dellavedova,Dellavedova,1.200000048,1,3600,MIL@MIN,MIL,MIN,GTD,Illness,
,,,,,,,,,,,,,29454-41082:Damian Jones,29454-41082,C,Damian,Damian Jones,Jones,19.13999939,5,3600,GS@NY,GS,NY,,,
,,,,,,,,,,,,,29454-81026:Milos Teodosic,29454-81026,PG,Milos,Milos Teodosic,Teodosic,19.57111138,45,3600,LAC@HOU,LAC,HOU,,,
,,,,,,,,,,,,,29454-17541:James Nunnally,29454-17541,SF,James,James Nunnally,Nunnally,null,null,3600,MIL@MIN,MIN,MIL,,,
,,,,,,,,,,,,,29454-15501:Allen Crabbe,29454-15501,SG,Allen,Allen Crabbe,Crabbe,8.53333346,3,3600,BKN@NO,BKN,NO,,,
,,,,,,,,,,,,,29454-63124:Emmanuel Mudiay,29454-63124,PG,Emmanuel,Emmanuel Mudiay,Mudiay,16.99062538,64,3600,GS@NY,NY,GS,O,Ankle,
,,,,,,,,,,,,,29454-84677:Jerome Robinson,29454-84677,PG,Jerome,Jerome Robinson,Robinson,null,null,3600,LAC@HOU,LAC,HOU,,,
,,,,,,,,,,,,,29454-84681:Donte DiVincenzo,29454-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,12.14999962,4,3600,MIL@MIN,MIL,MIN,,,
,,,,,,,,,,,,,29454-84688:Keita Bates-Diop,29454-84688,SF,Keita,Keita Bates-Diop,Bates-Diop,null,null,3600,MIL@MIN,MIN,MIL,,,
,,,,,,,,,,,,,29454-58081:Tyus Jones,29454-58081,PG,Tyus,Tyus Jones,Jones,13.63999939,5,3600,MIL@MIN,MIN,MIL,,,
,,,,,,,,,,,,,29454-15592:Austin Rivers,29454-15592,SG,Austin,Austin Rivers,Rivers,15.35000038,4,3600,WAS@SAC,WAS,SAC,,,
,,,,,,,,,,,,,29454-17747:Ian Clark,29454-17747,SG,Ian,Ian Clark,Clark,6.849999905,2,3600,BKN@NO,NO,BKN,,,
,,,,,,,,,,,,,29454-84827:Allonzo Trier,29454-84827,SG,Allonzo,Allonzo Trier,Trier,15.26000061,5,3600,GS@NY,NY,GS,,,
,,,,,,,,,,,,,29454-9615:Courtney Lee,29454-9615,SG,Courtney,Courtney Lee,Lee,21.82631643,76,3600,GS@NY,NY,GS,GTD,Neck,
,,,,,,,,,,,,,29454-9643:Shaun Livingston,29454-9643,PG,Shaun,Shaun Livingston,Livingston,15.03333282,3,3600,GS@NY,GS,NY,,,
,,,,,,,,,,,,,29454-49114:Frank Mason,29454-49114,SG,Frank,Frank Mason,Mason,18.52499962,4,3600,WAS@SAC,SAC,WAS,,,
,,,,,,,,,,,,,29454-16859:Lance Thomas,29454-16859,SF,Lance,Lance Thomas,Thomas,10.44000015,5,3600,GS@NY,NY,GS,,,
,,,,,,,,,,,,,29454-9702:Tony Parker,29454-9702,PG,Tony,Tony Parker,Parker,11.15999985,5,3600,CHI@CHA,CHA,CHI,,,
,,,,,,,,,,,,,29454-18435:Alfonzo McKinnie,29454-18435,SF,Alfonzo,Alfonzo McKinnie,McKinnie,6.120000076,5,3500,GS@NY,GS,NY,,,
,,,,,,,,,,,,,29454-66061:Dwayne Bacon,29454-66061,SF,Dwayne,Dwayne Bacon,Bacon,8.5,1,3500,CHI@CHA,CHA,CHI,,,
,,,,,,,,,,,,,29454-85521:Theo Pinson,29454-85521,SF,Theo,Theo Pinson,Pinson,3.849999905,2,3500,BKN@NO,BKN,NO,,,
,,,,,,,,,,,,,29454-64017:Salah Mejri,29454-64017,C,Salah,Salah Mejri,Mejri,12.94590184,61,3500,DAL@TOR,DAL,TOR,,,
